data_date,portfolio_value,unrealized_return
2026-01-26 17:12:20.023058+00:00,5161.66,355.28
2026-01-26 18:05:57.059905+00:00,5161.21,354.83
2026-01-26 18:31:44.535820+00:00,5162.12,355.74
2026-01-26 18:42:19.019989+00:00,5161.73,355.35
2026-01-26 19:12:28.888594+00:00,5161.86,355.48
2026-01-26 20:38:32.597994+00:00,5159.17,352.79
2026-01-26 20:41:33.282262+00:00,5158.96,352.58
2026-01-26 20:43:43.554641+00:00,5158.98,352.6
2026-01-26 20:44:13.777388+00:00,5159.09,352.71
2026-01-26 20:44:43.990927+00:00,5159.12,352.74
2026-01-26 20:46:56.779682+00:00,5158.89,352.51
2026-01-26 20:47:19.664062+00:00,5158.64,352.26
2026-01-26 20:47:26.991550+00:00,5158.66,352.28
2026-01-26 20:47:49.900441+00:00,5158.52,352.14
2026-01-26 20:47:57.210852+00:00,5158.52,352.14
2026-01-26 20:48:20.120897+00:00,5158.54,352.16
2026-01-26 20:51:30.723820+00:00,5157.93,351.55
2026-01-26 20:52:00.935171+00:00,5158.09,351.71
2026-01-26 20:52:31.167813+00:00,5158.1,351.72
2026-01-26 23:35:29.435820+00:00,5157.18,350.8
2026-01-26 23:36:17.828806+00:00,5157.21,350.83
2026-01-26 23:36:46.180158+00:00,5157.21,350.83
2026-01-27 00:01:29.345881+00:00,5157.01,350.63
2026-01-27 00:31:30.727512+00:00,5155.14,348.76
2026-01-27 01:01:31.324689+00:00,5156.0,349.62
2026-01-27 01:31:28.981621+00:00,5156.73,350.35
2026-01-27 02:01:27.533194+00:00,5157.0,350.62
2026-01-27 02:31:29.519460+00:00,5156.45,350.07
2026-01-27 03:01:27.845450+00:00,5155.92,349.54
2026-01-27 03:31:30.603136+00:00,5158.28,351.9
2026-01-27 04:01:30.942915+00:00,5157.35,350.97
2026-01-27 07:26:38.483527+00:00,5160.47,354.09
2026-01-27 08:01:36.061249+00:00,5180.98,374.6
2026-01-27 08:12:08.129443+00:00,5184.94,378.56
2026-01-27 08:31:30.766833+00:00,5182.31,375.93
